als_val  , ps_val, tempbuf, mag[x] , mag[y] , mag[z] , pressbuf, presstempbuf, acc[x] , acc[y] , acc[z] , (RED)  , (GREEN), (BLUE) , (IR)   ,(GREEN2)
5.0,74,25.4,0.8,-46.8,-78.2,1021.009,21.4,-0.0,0.0,1.0,6,24,3,4,24
5.0,74,26.0,0.8,-46.3,-78.4,1021.009,21.4,0.0,0.0,1.0,6,24,3,4,24
5.0,80,25.4,1.0,-45.5,-79.0,1021.009,21.4,0.0,0.1,1.0,6,24,3,4,24
5.0,80,26.0,1.1,-45.4,-78.9,1021.009,21.4,0.0,0.1,1.0,6,24,3,4,24
5.0,80,26.0,1.0,-45.7,-78.6,1021.005,21.4,0.0,0.1,1.0,6,24,3,2,24
5.0,75,26.6,1.1,-46.0,-78.4,1021.005,21.4,-0.0,0.0,1.0,6,24,3,2,24
5.0,75,26.0,1.0,-46.1,-78.5,1021.005,21.4,-0.0,0.0,1.0,6,24,3,2,24
5.0,75,26.6,0.6,-46.0,-78.5,1021.005,21.4,-0.0,0.0,1.0,6,24,3,2,24
5.0,76,26.0,0.9,-46.2,-78.6,1021.005,21.4,-0.0,0.0,1.0,6,24,3,2,24
5.0,76,25.4,0.8,-46.4,-78.7,1021.005,21.4,0.0,0.1,1.0,6,24,3,2,24
5.0,76,26.0,1.0,-46.8,-78.0,1021.011,21.4,0.0,0.1,1.0,6,24,3,2,24
5.0,75,25.4,1.2,-47.0,-77.7,1021.011,21.4,0.0,0.1,1.0,6,24,3,4,24
5.0,75,26.6,1.2,-47.2,-77.9,1021.011,21.4,-0.0,0.0,1.0,6,24,3,4,24
5.0,74,26.0,0.8,-46.9,-77.8,1021.011,21.4,-0.0,0.0,1.0,7,25,4,4,24
5.0,74,26.0,1.1,-45.8,-78.7,1021.011,21.4,-0.0,0.0,1.0,7,25,4,4,24
5.0,74,26.0,1.0,-44.9,-79.2,1021.011,21.4,0.0,0.1,1.0,7,25,4,4,25
5.0,80,26.0,0.9,-44.5,-79.6,1021.011,21.4,0.0,0.1,1.0,7,25,4,4,25
5.0,80,26.6,1.0,-45.0,-79.1,1021.016,21.4,-0.0,0.0,1.0,6,23,3,4,25
5.0,80,25.4,1.1,-46.1,-78.4,1021.016,21.4,-0.0,0.0,1.0,6,23,3,2,24
